05-08-2016 12:34:22:770253 INFO:	SERVER:infite while loop 
05-08-2016 12:34:27:770749 INFO:	SERVER:infite while loop 
05-08-2016 12:34:32:771294 INFO:	SERVER:infite while loop 
05-08-2016 12:34:51:329739 INFO:	SERVER:infite while loop 
05-08-2016 12:34:56:330141 INFO:	SERVER:infite while loop 
05-08-2016 12:35:01:331012 INFO:	SERVER:infite while loop 
05-08-2016 12:35:42:648987 INFO:	SERVER:infite while loop 
05-08-2016 12:35:47:649789 INFO:	SERVER:infite while loop 
05-08-2016 12:35:52:650106 INFO:	SERVER:infite while loop 
05-08-2016 12:35:57:650441 INFO:	SERVER:infite while loop 
05-08-2016 12:41:47:255744 INFO:	SERVER:Staring the server 
05-08-2016 12:41:47:319268 INFO:	SERVER:Fetching data base path 
05-08-2016 12:41:47:339426 DEBUG:	SERVER:Database path found 
05-08-2016 12:41:47:385303 INFO:	SERVER:Client[ ] request for details pulsar 23 
05-08-2016 12:41:47:385363 DEBUG:	SERVER:Getting the instance of database 
05-08-2016 12:41:47:385375 INFO:	SERVER:Get the data for the required vehicle 
05-08-2016 12:41:47:385400 INFO:	SERVER:Fiiling up base class vahan 
05-08-2016 12:41:47:387421 INFO:	SERVER:Pulsar details sent over socket 
05-08-2016 12:41:47:387476 INFO:	SERVER:Server exiting..... 
05-08-2016 12:41:47:387484 INFO:	SERVER:initializing the inotify 
05-08-2016 12:41:47:387490 INFO:	SERVER:Staring the thread for inotify 
05-08-2016 12:41:47:387921 INFO:	SERVER:Adding a watch for file 
05-08-2016 12:41:47:387953 INFO:	SERVER:infite while loop 
05-08-2016 12:42:06:99741 INFO:	SERVER:file is modified 
05-08-2016 12:42:11:100052 INFO:	SERVER:infite while loop 
05-08-2016 12:42:16:100372 INFO:	SERVER:infite while loop 
05-08-2016 12:42:31:902695 INFO:	SERVER:infite while loop 
05-08-2016 12:42:36:902887 INFO:	SERVER:infite while loop 
07-08-2016 06:46:18:248004 INFO:	SERVER:Staring the server 
07-08-2016 06:46:18:249084 INFO:	SERVER:Fetching data base path 
07-08-2016 06:46:18:249604 DEBUG:	SERVER:Database path found 
07-08-2016 06:46:18:251830 INFO:	SERVER:Client[ ] request for details pulsar 23 
07-08-2016 06:46:18:252710 DEBUG:	SERVER:Getting the instance of database 
07-08-2016 06:46:18:253015 INFO:	SERVER:Get the data for the required vehicle 
07-08-2016 06:46:18:253252 INFO:	SERVER:Fiiling up base class vahan 
07-08-2016 06:46:18:258455 INFO:	SERVER:Pulsar details sent over socket 
07-08-2016 06:46:18:258803 INFO:	SERVER:Server exiting..... 
07-08-2016 06:46:18:258911 INFO:	SERVER:initializing the inotify 
07-08-2016 06:46:18:258998 INFO:	SERVER:Staring the thread for inotify 
07-08-2016 06:46:18:259492 INFO:	SERVER:Adding a watch for file 
07-08-2016 06:46:18:259898 INFO:	SERVER:infite while loop 
07-08-2016 06:46:29:775753 INFO:	SERVER:file is modified 
07-08-2016 06:46:29:775895 INFO:	SERVER:infite while loop 
07-08-2016 06:46:33:782377 INFO:	SERVER:infite while loop 
07-08-2016 06:46:47:687702 INFO:	SERVER:infite while loop 
07-08-2016 06:46:47:732623 INFO:	SERVER:infite while loop 
07-08-2016 06:46:47:735702 INFO:	SERVER:infite while loop 
07-08-2016 06:46:51:740621 INFO:	SERVER:infite while loop 
07-08-2016 06:48:13:448839 INFO:	SERVER:Staring the server 
07-08-2016 06:48:13:449091 INFO:	SERVER:Fetching data base path 
07-08-2016 06:48:13:449236 DEBUG:	SERVER:Database path found 
07-08-2016 06:48:13:449616 INFO:	SERVER:Client[ ] request for details pulsar 23 
07-08-2016 06:48:13:449700 DEBUG:	SERVER:Getting the instance of database 
